canonical_name,variation,country_code,source
"Apple Inc","Apple","US","SEC EDGAR"
"Apple Inc","Apple Incorporated","US","SEC EDGAR"
"Apple Inc","AAPL","US","stock ticker"
"Microsoft Corporation","Microsoft","US","SEC EDGAR"
"Microsoft Corporation","Microsoft Corp","US","company website"
"Microsoft Corporation","MSFT","US","stock ticker"
"Alphabet Inc","Alphabet","US","SEC EDGAR"
"Alphabet Inc","Google","US","common usage"
"Alphabet Inc","GOOGL","US","stock ticker"
"Amazon.com Inc","Amazon","US","SEC EDGAR"
"Amazon.com Inc","Amazon.com","US","company website"
"Amazon.com Inc","AMZN","US","stock ticker"
"JPMorgan Chase & Co","JPMorgan Chase","US","SEC EDGAR"
"JPMorgan Chase & Co","JPMorgan","US","company website"
"JPMorgan Chase & Co","JPM","US","stock ticker"
"Berkshire Hathaway Inc","Berkshire Hathaway","US","SEC EDGAR"
"Berkshire Hathaway Inc","Berkshire","US","company website"
"Berkshire Hathaway Inc","BRK.B","US","stock ticker"
"Johnson & Johnson","J&J","US","SEC EDGAR"
"Johnson & Johnson","JNJ","US","stock ticker"
"Johnson & Johnson","JNJ Corporation","US","company website"
"Exxon Mobil Corporation","ExxonMobil","US","SEC EDGAR"
"Exxon Mobil Corporation","Exxon Mobil","US","company website"
"Exxon Mobil Corporation","XOM","US","stock ticker"
"The Procter & Gamble Company","Procter & Gamble","US","SEC EDGAR"
"The Procter & Gamble Company","P&G","US","SEC EDGAR"
"The Procter & Gamble Company","PG","US","stock ticker"
"Walmart Inc","Walmart","US","SEC EDGAR"
"Walmart Inc","Wal-Mart","US","company website"
"Walmart Inc","WMT","US","stock ticker"
"The Coca-Cola Company","Coca-Cola","US","SEC EDGAR"
"The Coca-Cola Company","Coke","US","common usage"
"The Coca-Cola Company","KO","US","stock ticker"
"Visa Inc","Visa","US","SEC EDGAR"
"Visa Inc","V","US","stock ticker"
"Visa Inc","Visa International","US","company website"
"Meta Platforms Inc","Meta","US","SEC EDGAR"
"Meta Platforms Inc","Facebook","US","common usage"
"Meta Platforms Inc","META","US","stock ticker"
